CEP,Logradouro,Bairro,Cidade,UF,Estado,Região
"18110005","AVENIDA 31 DE MARCO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","AVENIDA 31 DE MARCO","LAGEADO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","AVENIDA 31 DE MARCO","VILA GUILHERME","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","AVENIDA 31 DE MARCO","VOTOCEL","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","VIELA 7","PARQUE BELA VISTA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA ADRIANO MACIEL DE QUEIROZ","PROTESTANTES","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA ALICE CINTRA BORMAN","GREEN VALLEY","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA ANTONIO ANTUNES DE ASSIS","VILA PEDROSO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA CARLOS ZANETTI","PARQUE JATAI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","ALAMEDA DAS PAINEIRAS","CONDOMINIO SANTO ANTONIO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA DEZOITO","JARDIM NOVO MUNDO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA LEVANTE SANTUCCI","PARQUE JATAI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA LUIZ CAETANO BERNARDI","PARQUE JATAI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA MARIA JOSE NUNES","PARQUE JATAI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA PALMEIRA REAL","CONDOMINIO SANTO ANTONIO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA PASCHOAL JERONIMO FORNAZARI","FORNAZARI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA PEDRO NUNES","PARQUE JATAI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","AVENIDA ROGERIO CASSOLA","ALDEIA DA MATA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA SEM DENOMINACAO","GREEN VALLEY","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA SEM DENOMINACAO","PALMEIRINHA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA SEM DENOMINACAO","VOSSOROQUINHA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","TRAVESSA SEM DENOMINACAO","JARDIM TATIANA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","VIELA SEM DENOMINACAO","JARDIM ARCHILA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","VIELA SEM DENOMINACAO","JARDIM CLARICE","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","VIELA SEM DENOMINACAO","PARQUE JATAI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RUA TIRIVA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","AVENIDA TRINTA E UM DE MARCO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","AVENIDA TRINTA E UM DE MARCO","CHAVE","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","TRAVESSA UM","JARDIM TATIANA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110005","RODOVIA VOTORANTIM PIEDADE SP 079","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110008","AVENIDA JUSCELINO KUBISTCHEK DE OLIVEIRA","LAGEADO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110010","RUA BEBEDITO CAMARGO SOBRINHO","JARDIM UNIAO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110010","RUA DEZOITO","JARDIM NOVO MUNDO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110010","VIELA DOIS","JARDIM NOVO MUNDO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110010","PROJETADA SEM DENOMINACAO","VILA VASQUES","VOTORANTIM","SP","São Paulo","Sudeste"
"18110010","VIELA SEM DENOMINACAO","JARDIM NOVO MUNDO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110010","RUA SUDARIO PALDINI","VALE DO SOL","VOTORANTIM","SP","São Paulo","Sudeste"
"18110010","VIELA UM","JARDIM NOVO MUNDO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110011","RUA B","JARDIM MONTE SIAO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110011","RUA JULIO LOPES FILHO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110011","RUA SEM DENOMINACAO","VILA GUILHERME","VOTORANTIM","SP","São Paulo","Sudeste"
"18110013","AVENIDA NEWTON VIEIRA SOARES","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110013","RUA SEM DENOMINACAO","VILA GUILHERME","VOTORANTIM","SP","São Paulo","Sudeste"
"18110020","RUA JOAO WALTER","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110025","RUA ANTONIO WALTER","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110025","RODOVIA JOAO LEME DOS SANTOS","GREEN VALLEY","VOTORANTIM","SP","São Paulo","Sudeste"
"18110028","ESTRADA DO CARAFA","CARAFA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110030","RUA ISALTINO DIAS","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110037","RUA AUGUSTO JESUINO BAUCH","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110040","VIELA JOSE ALVES PINTO","PARQUE BELA VISTA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110045","RUA PAULA NEY","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110045","RUA PAULA NEY","PARQUE BELA VISTA","VOTORANTIM","SP","São Paulo","Sudeste"
"18110050","RUA JOSE DO CARMO MADUREIRA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110055","RUA ALFREDO ELLIS","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110060","RUA FRANCISCO PAULA SANTOS","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110065","RUA MONTE ALEGRE","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110075","RUA MARIA AUGUSTA BAUCH","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110080","RUA ALMEIDA JUNIOR","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110085","RUA ACHILES LONGO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110085","RUA CARLOS ZANETTI","PARQUE JATAI","VOTORANTIM","SP","São Paulo","Sudeste"
"18110090","RUA EDUARDO PRADO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110095","RUA ALBERTINA NASCIMENTO","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110105","RUA ANTONIO ESTA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110110","RUA SEBASTIAO LOPES","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110115","RUA ITAPEVA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110130","RUA ACACIO MILLER","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110140","RUA PASCHOA BUSCARIOL","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110145","RUA ANGELO MARTINES ESCANILHA","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110150","RUA JAIME DE CAMPOS","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110160","RUA CARMEN VEIGA LOPES","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
"18110170","RUA ANTONIO FERNANDES","CENTRO","VOTORANTIM","SP","São Paulo","Sudeste"
